gsName,gsGene,gsRange,gsSource,gsCitation
MES-like2,HILPDA,GBM,GBM_CellState,PMID31327527
MES-like2,ADM,GBM,GBM_CellState,PMID31327527
MES-like2,DDIT3,GBM,GBM_CellState,PMID31327527
MES-like2,NDRG1,GBM,GBM_CellState,PMID31327527
MES-like2,HERPUD1,GBM,GBM_CellState,PMID31327527
MES-like2,DNAJB9,GBM,GBM_CellState,PMID31327527
MES-like2,TRIB3,GBM,GBM_CellState,PMID31327527
MES-like2,ENO2,GBM,GBM_CellState,PMID31327527
MES-like2,AKAP12,GBM,GBM_CellState,PMID31327527
MES-like2,SQSTM1,GBM,GBM_CellState,PMID31327527
MES-like2,MT1X,GBM,GBM_CellState,PMID31327527
MES-like2,ATF3,GBM,GBM_CellState,PMID31327527
MES-like2,NAMPT,GBM,GBM_CellState,PMID31327527
MES-like2,NRN1,GBM,GBM_CellState,PMID31327527
MES-like2,SLC2A1,GBM,GBM_CellState,PMID31327527
MES-like2,BNIP3,GBM,GBM_CellState,PMID31327527
MES-like2,LGALS3,GBM,GBM_CellState,PMID31327527
MES-like2,INSIG2,GBM,GBM_CellState,PMID31327527
MES-like2,IGFBP3,GBM,GBM_CellState,PMID31327527
MES-like2,PPP1R15A,GBM,GBM_CellState,PMID31327527
MES-like2,VIM,GBM,GBM_CellState,PMID31327527
MES-like2,PLOD2,GBM,GBM_CellState,PMID31327527
MES-like2,GBE1,GBM,GBM_CellState,PMID31327527
MES-like2,SLC2A3,GBM,GBM_CellState,PMID31327527
MES-like2,FTL,GBM,GBM_CellState,PMID31327527
MES-like2,WARS,GBM,GBM_CellState,PMID31327527
MES-like2,ERO1L,GBM,GBM_CellState,PMID31327527
MES-like2,XPOT,GBM,GBM_CellState,PMID31327527
MES-like2,HSPA5,GBM,GBM_CellState,PMID31327527
MES-like2,GDF15,GBM,GBM_CellState,PMID31327527
MES-like2,ANXA2,GBM,GBM_CellState,PMID31327527
MES-like2,EPAS1,GBM,GBM_CellState,PMID31327527
MES-like2,LDHA,GBM,GBM_CellState,PMID31327527
MES-like2,P4HA1,GBM,GBM_CellState,PMID31327527
MES-like2,SERTAD1,GBM,GBM_CellState,PMID31327527
MES-like2,PFKP,GBM,GBM_CellState,PMID31327527
MES-like2,PGK1,GBM,GBM_CellState,PMID31327527
MES-like2,EGLN3,GBM,GBM_CellState,PMID31327527
MES-like2,SLC6A6,GBM,GBM_CellState,PMID31327527
MES-like2,CA9,GBM,GBM_CellState,PMID31327527
MES-like2,BNIP3L,GBM,GBM_CellState,PMID31327527
MES-like2,RPL21,GBM,GBM_CellState,PMID31327527
MES-like2,TRAM1,GBM,GBM_CellState,PMID31327527
MES-like2,UFM1,GBM,GBM_CellState,PMID31327527
MES-like2,ASNS,GBM,GBM_CellState,PMID31327527
MES-like2,GOLT1B,GBM,GBM_CellState,PMID31327527
MES-like2,ANGPTL4,GBM,GBM_CellState,PMID31327527
MES-like2,SLC39A14,GBM,GBM_CellState,PMID31327527
MES-like2,CDKN1A,GBM,GBM_CellState,PMID31327527
MES-like2,HSPA9,GBM,GBM_CellState,PMID31327527
MES-like1,CHI3L1,GBM,GBM_CellState,PMID31327527
MES-like1,ANXA2,GBM,GBM_CellState,PMID31327527
MES-like1,ANXA1,GBM,GBM_CellState,PMID31327527
MES-like1,CD44,GBM,GBM_CellState,PMID31327527
MES-like1,VIM,GBM,GBM_CellState,PMID31327527
MES-like1,MT2A,GBM,GBM_CellState,PMID31327527
MES-like1,C1S,GBM,GBM_CellState,PMID31327527
MES-like1,NAMPT,GBM,GBM_CellState,PMID31327527
MES-like1,EFEMP1,GBM,GBM_CellState,PMID31327527
MES-like1,C1R,GBM,GBM_CellState,PMID31327527
MES-like1,SOD2,GBM,GBM_CellState,PMID31327527
MES-like1,IFITM3,GBM,GBM_CellState,PMID31327527
MES-like1,TIMP1,GBM,GBM_CellState,PMID31327527
MES-like1,SPP1,GBM,GBM_CellState,PMID31327527
MES-like1,A2M,GBM,GBM_CellState,PMID31327527
