gsName,gsGene,gsRange,gsSource,gsCitation
The Cancer-Testis Antigens,MAGEA1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA4,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA5,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA6,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA8,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA9,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA10,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA11,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEA12,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,BAGE,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,BAGE2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,BAGE3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,BAGE4,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,BAGE5,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEB1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEB2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEB5,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEB6,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEB3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEB4,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE2A,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE4,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE5,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE6,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE7,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,GAGE8,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SSX1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SSX2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SSX2b,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SSX3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SSX4,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,CTAG1B,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,LAGE-1b,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,CTAG2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEC1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEC3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SYCP1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,BRDT,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,MAGEC2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXA1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXB1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXC,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXD,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXN1,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXN2,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXN3,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXN4,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,SPANXN5,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,XAGE1D,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,XAGE1C,,http://www.cta.lncc.br/,
The Cancer-Testis Antigens,XAGE1B,,http://www.cta.lncc.br/,
