gsName,gsGene,gsRange,gsSource,gsCitation
iCMS2_Up,CXCL14,CRC,iCMS,PMID35773407
iCMS2_Up,LY6G6F-LY6G6D,CRC,iCMS,PMID35773407
iCMS2_Up,EREG,CRC,iCMS,PMID35773407
iCMS2_Up,TIMP3,CRC,iCMS,PMID35773407
iCMS2_Up,KRT23,CRC,iCMS,PMID35773407
iCMS2_Up,RUBCNL,CRC,iCMS,PMID35773407
iCMS2_Up,PLTP,CRC,iCMS,PMID35773407
iCMS2_Up,TNNC2,CRC,iCMS,PMID35773407
iCMS2_Up,GGH,CRC,iCMS,PMID35773407
iCMS2_Up,FN1,CRC,iCMS,PMID35773407
iCMS2_Up,TDGF1,CRC,iCMS,PMID35773407
iCMS2_Up,ARID3A,CRC,iCMS,PMID35773407
iCMS2_Up,PTPRO,CRC,iCMS,PMID35773407
iCMS2_Up,CYP2W1,CRC,iCMS,PMID35773407
iCMS2_Up,TSPAN6,CRC,iCMS,PMID35773407
iCMS2_Up,FGGY,CRC,iCMS,PMID35773407
iCMS2_Up,DPEP1,CRC,iCMS,PMID35773407
iCMS2_Up,AXIN2,CRC,iCMS,PMID35773407
iCMS2_Up,PRSS23,CRC,iCMS,PMID35773407
iCMS2_Up,PLIN2,CRC,iCMS,PMID35773407
iCMS2_Up,PLCB4,CRC,iCMS,PMID35773407
iCMS2_Up,RNF43,CRC,iCMS,PMID35773407
iCMS2_Up,PFDN4,CRC,iCMS,PMID35773407
iCMS2_Up,ASCL2,CRC,iCMS,PMID35773407
iCMS2_Up,PRR15,CRC,iCMS,PMID35773407
iCMS2_Up,DDX27,CRC,iCMS,PMID35773407
iCMS2_Up,QPRT,CRC,iCMS,PMID35773407
iCMS2_Up,AP003774.4,CRC,iCMS,PMID35773407
iCMS2_Up,LCN15,CRC,iCMS,PMID35773407
iCMS2_Up,POFUT1,CRC,iCMS,PMID35773407
iCMS2_Up,CPNE1,CRC,iCMS,PMID35773407
iCMS2_Up,AREG,CRC,iCMS,PMID35773407
iCMS2_Up,MYC,CRC,iCMS,PMID35773407
iCMS2_Up,OSER1,CRC,iCMS,PMID35773407
iCMS2_Up,ZNF503,CRC,iCMS,PMID35773407
iCMS2_Up,SLC5A6,CRC,iCMS,PMID35773407
iCMS2_Up,NELFCD,CRC,iCMS,PMID35773407
iCMS2_Up,DPM1,CRC,iCMS,PMID35773407
iCMS2_Up,FARP1,CRC,iCMS,PMID35773407
iCMS2_Up,TP53RK,CRC,iCMS,PMID35773407
iCMS2_Up,ARHGAP45,CRC,iCMS,PMID35773407
iCMS2_Up,EIF6,CRC,iCMS,PMID35773407
iCMS2_Up,ACOT8,CRC,iCMS,PMID35773407
iCMS2_Up,NKD1,CRC,iCMS,PMID35773407
iCMS2_Up,CTNNBL1,CRC,iCMS,PMID35773407
iCMS2_Up,YWHAB,CRC,iCMS,PMID35773407
iCMS2_Up,TRIB3,CRC,iCMS,PMID35773407
iCMS2_Up,PSMA7,CRC,iCMS,PMID35773407
iCMS2_Up,TOP1MT,CRC,iCMS,PMID35773407
iCMS2_Up,RAB5IF,CRC,iCMS,PMID35773407
iCMS2_Up,MAPRE1,CRC,iCMS,PMID35773407
iCMS2_Up,AHCY,CRC,iCMS,PMID35773407
iCMS2_Up,ATP9A,CRC,iCMS,PMID35773407
iCMS2_Up,CTSA,CRC,iCMS,PMID35773407
iCMS2_Up,RAE1,CRC,iCMS,PMID35773407
iCMS2_Up,NEU1,CRC,iCMS,PMID35773407
iCMS2_Up,C8orf33,CRC,iCMS,PMID35773407
iCMS2_Up,CDK5RAP1,CRC,iCMS,PMID35773407
iCMS2_Up,GPSM2,CRC,iCMS,PMID35773407
iCMS2_Up,PRPF6,CRC,iCMS,PMID35773407
iCMS2_Up,TOMM34,CRC,iCMS,PMID35773407
iCMS2_Up,SCML1,CRC,iCMS,PMID35773407
iCMS2_Up,STK4,CRC,iCMS,PMID35773407
iCMS2_Up,DDAH2,CRC,iCMS,PMID35773407
iCMS2_Up,RTF2,CRC,iCMS,PMID35773407
iCMS2_Up,PMEPA1,CRC,iCMS,PMID35773407
iCMS2_Up,FERMT1,CRC,iCMS,PMID35773407
iCMS2_Up,PRELID3B,CRC,iCMS,PMID35773407
iCMS2_Up,UCA1,CRC,iCMS,PMID35773407
iCMS2_Up,GABRE,CRC,iCMS,PMID35773407
iCMS2_Up,EIF2S2,CRC,iCMS,PMID35773407
iCMS2_Up,PDRG1,CRC,iCMS,PMID35773407
iCMS2_Up,NFS1,CRC,iCMS,PMID35773407
iCMS2_Up,PCMTD2,CRC,iCMS,PMID35773407
iCMS2_Up,RNF114,CRC,iCMS,PMID35773407
iCMS2_Up,ANO9,CRC,iCMS,PMID35773407
iCMS2_Up,FUNDC2,CRC,iCMS,PMID35773407
iCMS2_Up,ZDHHC9,CRC,iCMS,PMID35773407
iCMS2_Up,UTP14A,CRC,iCMS,PMID35773407
iCMS2_Up,STAU1,CRC,iCMS,PMID35773407
iCMS2_Up,DAB2,CRC,iCMS,PMID35773407
iCMS2_Up,COMMD7,CRC,iCMS,PMID35773407
iCMS2_Up,SERPINE2,CRC,iCMS,PMID35773407
iCMS2_Up,IFITM1,CRC,iCMS,PMID35773407
iCMS2_Up,RNF113A,CRC,iCMS,PMID35773407
iCMS2_Up,FMR1,CRC,iCMS,PMID35773407
iCMS2_Up,PRAP1,CRC,iCMS,PMID35773407
iCMS2_Up,UCKL1,CRC,iCMS,PMID35773407
iCMS2_Up,DNTTIP1,CRC,iCMS,PMID35773407
iCMS2_Up,ADRM1,CRC,iCMS,PMID35773407
iCMS2_Up,PROSER1,CRC,iCMS,PMID35773407
iCMS2_Up,GTF2F2,CRC,iCMS,PMID35773407
iCMS2_Up,ASXL1,CRC,iCMS,PMID35773407
iCMS2_Up,GID8,CRC,iCMS,PMID35773407
iCMS2_Up,DKC1,CRC,iCMS,PMID35773407
iCMS2_Up,GTF2IRD1,CRC,iCMS,PMID35773407
iCMS2_Up,NDRG3,CRC,iCMS,PMID35773407
iCMS2_Up,NEK3,CRC,iCMS,PMID35773407
iCMS2_Up,STX16,CRC,iCMS,PMID35773407
iCMS2_Up,SERINC3,CRC,iCMS,PMID35773407
iCMS2_Up,CHCHD7,CRC,iCMS,PMID35773407
iCMS2_Up,TIMM8A,CRC,iCMS,PMID35773407
iCMS2_Up,CARS2,CRC,iCMS,PMID35773407
iCMS2_Up,RRS1,CRC,iCMS,PMID35773407
iCMS2_Up,ZMYND8,CRC,iCMS,PMID35773407
iCMS2_Up,TPD52L2,CRC,iCMS,PMID35773407
iCMS2_Up,PEPD,CRC,iCMS,PMID35773407
iCMS2_Up,CSE1L,CRC,iCMS,PMID35773407
iCMS2_Up,UCHL3,CRC,iCMS,PMID35773407
iCMS2_Up,SLC2A8,CRC,iCMS,PMID35773407
iCMS2_Up,CYB5B,CRC,iCMS,PMID35773407
iCMS2_Up,GAL,CRC,iCMS,PMID35773407
iCMS2_Up,PIGU,CRC,iCMS,PMID35773407
iCMS2_Up,VAPB,CRC,iCMS,PMID35773407
iCMS2_Up,PARD6B,CRC,iCMS,PMID35773407
iCMS2_Up,NCOA3,CRC,iCMS,PMID35773407
iCMS2_Up,RALY,CRC,iCMS,PMID35773407
iCMS2_Up,C20orf27,CRC,iCMS,PMID35773407
iCMS2_Up,EDN1,CRC,iCMS,PMID35773407
iCMS2_Up,PHF20,CRC,iCMS,PMID35773407
iCMS2_Up,DEFA6,CRC,iCMS,PMID35773407
iCMS2_Up,DYNLRB1,CRC,iCMS,PMID35773407
iCMS2_Up,LAS1L,CRC,iCMS,PMID35773407
iCMS2_Up,SLC20A2,CRC,iCMS,PMID35773407
iCMS2_Up,YAE1D1,CRC,iCMS,PMID35773407
iCMS2_Up,IGBP1,CRC,iCMS,PMID35773407
iCMS2_Up,FTL,CRC,iCMS,PMID35773407
iCMS2_Up,KPNA3,CRC,iCMS,PMID35773407
iCMS2_Up,NKAP,CRC,iCMS,PMID35773407
iCMS2_Up,PLAGL2,CRC,iCMS,PMID35773407
iCMS2_Up,PQBP1,CRC,iCMS,PMID35773407
iCMS2_Up,RAB20,CRC,iCMS,PMID35773407
iCMS2_Up,MRGBP,CRC,iCMS,PMID35773407
iCMS2_Up,IFT52,CRC,iCMS,PMID35773407
iCMS2_Up,SCAND1,CRC,iCMS,PMID35773407
iCMS2_Up,XRN2,CRC,iCMS,PMID35773407
iCMS2_Up,ARFRP1,CRC,iCMS,PMID35773407
iCMS2_Up,RB1CC1,CRC,iCMS,PMID35773407
iCMS2_Up,NAA20,CRC,iCMS,PMID35773407
iCMS2_Up,RALGAPB,CRC,iCMS,PMID35773407
iCMS2_Up,MPLKIP,CRC,iCMS,PMID35773407
iCMS2_Up,ATP5F1E,CRC,iCMS,PMID35773407
iCMS2_Up,EEPD1,CRC,iCMS,PMID35773407
iCMS2_Up,OSBPL2,CRC,iCMS,PMID35773407
iCMS2_Up,PROX1,CRC,iCMS,PMID35773407
iCMS2_Up,C2,CRC,iCMS,PMID35773407
iCMS2_Up,SYS1,CRC,iCMS,PMID35773407
iCMS2_Up,NORAD,CRC,iCMS,PMID35773407
iCMS2_Up,FBL,CRC,iCMS,PMID35773407
iCMS2_Up,SLC7A6,CRC,iCMS,PMID35773407
iCMS2_Up,ERGIC3,CRC,iCMS,PMID35773407
iCMS2_Up,SNRPB2,CRC,iCMS,PMID35773407
iCMS2_Up,PCIF1,CRC,iCMS,PMID35773407
iCMS2_Up,RPN2,CRC,iCMS,PMID35773407
iCMS2_Up,MCTS1,CRC,iCMS,PMID35773407
iCMS2_Up,AURKA,CRC,iCMS,PMID35773407
iCMS2_Up,EIF3E,CRC,iCMS,PMID35773407
iCMS2_Up,RAB22A,CRC,iCMS,PMID35773407
iCMS2_Up,IRS2,CRC,iCMS,PMID35773407
iCMS2_Up,STRAP,CRC,iCMS,PMID35773407
iCMS2_Up,RBM39,CRC,iCMS,PMID35773407
iCMS2_Up,BCAP31,CRC,iCMS,PMID35773407
iCMS2_Up,CCDC85B,CRC,iCMS,PMID35773407
iCMS2_Up,CEBPB,CRC,iCMS,PMID35773407
iCMS2_Up,TBRG4,CRC,iCMS,PMID35773407
iCMS2_Up,DCAF13,CRC,iCMS,PMID35773407
