gsName,gsGene,gsRange,gsSource,gsCitation
HousekeepingGenes,ARF5,,HRTAtlas,PMID32663312
HousekeepingGenes,M6PR,,HRTAtlas,PMID32663312
HousekeepingGenes,RALA,,HRTAtlas,PMID32663312
HousekeepingGenes,DVL2,,HRTAtlas,PMID32663312
HousekeepingGenes,RHBDD2,,HRTAtlas,PMID32663312
HousekeepingGenes,TSR3,,HRTAtlas,PMID32663312
HousekeepingGenes,NDUFAB1,,HRTAtlas,PMID32663312
HousekeepingGenes,RPS20,,HRTAtlas,PMID32663312
HousekeepingGenes,RANBP9,,HRTAtlas,PMID32663312
HousekeepingGenes,SS18L2,,HRTAtlas,PMID32663312
HousekeepingGenes,PPP5C,,HRTAtlas,PMID32663312
HousekeepingGenes,COX15,,HRTAtlas,PMID32663312
HousekeepingGenes,VDAC3,,HRTAtlas,PMID32663312
HousekeepingGenes,RTF2,,HRTAtlas,PMID32663312
HousekeepingGenes,B4GALT7,,HRTAtlas,PMID32663312
HousekeepingGenes,GABARAPL2,,HRTAtlas,PMID32663312
HousekeepingGenes,MRPS10,,HRTAtlas,PMID32663312
HousekeepingGenes,GRN,,HRTAtlas,PMID32663312
HousekeepingGenes,VAMP3,,HRTAtlas,PMID32663312
HousekeepingGenes,RCN1,,HRTAtlas,PMID32663312
HousekeepingGenes,FAM168A,,HRTAtlas,PMID32663312
HousekeepingGenes,CDC27,,HRTAtlas,PMID32663312
HousekeepingGenes,RPL18,,HRTAtlas,PMID32663312
HousekeepingGenes,ISOC2,,HRTAtlas,PMID32663312
HousekeepingGenes,EPN1,,HRTAtlas,PMID32663312
HousekeepingGenes,GPKOW,,HRTAtlas,PMID32663312
HousekeepingGenes,KDM4B,,HRTAtlas,PMID32663312
HousekeepingGenes,FOXJ2,,HRTAtlas,PMID32663312
HousekeepingGenes,GOLGA5,,HRTAtlas,PMID32663312
HousekeepingGenes,PPP2R5B,,HRTAtlas,PMID32663312
HousekeepingGenes,REXO1,,HRTAtlas,PMID32663312
HousekeepingGenes,MKRN2,,HRTAtlas,PMID32663312
HousekeepingGenes,LAPTM4A,,HRTAtlas,PMID32663312
HousekeepingGenes,NDUFB4,,HRTAtlas,PMID32663312
HousekeepingGenes,ERLEC1,,HRTAtlas,PMID32663312
HousekeepingGenes,TMEM131,,HRTAtlas,PMID32663312
HousekeepingGenes,DELE1,,HRTAtlas,PMID32663312
HousekeepingGenes,PLOD1,,HRTAtlas,PMID32663312
HousekeepingGenes,RPS5,,HRTAtlas,PMID32663312
HousekeepingGenes,RRN3,,HRTAtlas,PMID32663312
HousekeepingGenes,DIMT1,,HRTAtlas,PMID32663312
HousekeepingGenes,EIF2AK1,,HRTAtlas,PMID32663312
HousekeepingGenes,MRPL28,,HRTAtlas,PMID32663312
HousekeepingGenes,LAMP2,,HRTAtlas,PMID32663312
HousekeepingGenes,TMEM230,,HRTAtlas,PMID32663312
HousekeepingGenes,MLF2,,HRTAtlas,PMID32663312
HousekeepingGenes,PDCD7,,HRTAtlas,PMID32663312
HousekeepingGenes,GNPTG,,HRTAtlas,PMID32663312
HousekeepingGenes,DLD,,HRTAtlas,PMID32663312
HousekeepingGenes,SPAG7,,HRTAtlas,PMID32663312
HousekeepingGenes,TMEM101,,HRTAtlas,PMID32663312
HousekeepingGenes,PSME1,,HRTAtlas,PMID32663312
HousekeepingGenes,DHPS,,HRTAtlas,PMID32663312
HousekeepingGenes,PSMD5,,HRTAtlas,PMID32663312
HousekeepingGenes,TMED1,,HRTAtlas,PMID32663312
HousekeepingGenes,BCL7C,,HRTAtlas,PMID32663312
