gsName,gsGene,gsRange,gsSource,gsCitation
aDC_HPCA_1,C1QA,ImmEva,xCell,PMID29141660
aDC_HPCA_1,C1QB,ImmEva,xCell,PMID29141660
aDC_HPCA_1,CD80,ImmEva,xCell,PMID29141660
aDC_HPCA_1,IL12B,ImmEva,xCell,PMID29141660
aDC_HPCA_1,CCL13,ImmEva,xCell,PMID29141660
aDC_HPCA_1,CCL17,ImmEva,xCell,PMID29141660
aDC_HPCA_1,CCL19,ImmEva,xCell,PMID29141660
aDC_HPCA_1,CCL22,ImmEva,xCell,PMID29141660
aDC_HPCA_2,C1QA,ImmEva,xCell,PMID29141660
aDC_HPCA_2,C1QB,ImmEva,xCell,PMID29141660
aDC_HPCA_2,CD80,ImmEva,xCell,PMID29141660
aDC_HPCA_2,FPR3,ImmEva,xCell,PMID29141660
aDC_HPCA_2,HLA-DQA1,ImmEva,xCell,PMID29141660
aDC_HPCA_2,IL12B,ImmEva,xCell,PMID29141660
aDC_HPCA_2,CCL13,ImmEva,xCell,PMID29141660
aDC_HPCA_2,CCL17,ImmEva,xCell,PMID29141660
aDC_HPCA_2,CCL19,ImmEva,xCell,PMID29141660
aDC_HPCA_2,CCL22,ImmEva,xCell,PMID29141660
aDC_HPCA_3,C1QA,ImmEva,xCell,PMID29141660
aDC_HPCA_3,C1QB,ImmEva,xCell,PMID29141660
aDC_HPCA_3,CD80,ImmEva,xCell,PMID29141660
aDC_HPCA_3,FPR3,ImmEva,xCell,PMID29141660
aDC_HPCA_3,HLA-DQA1,ImmEva,xCell,PMID29141660
aDC_HPCA_3,IL12B,ImmEva,xCell,PMID29141660
aDC_HPCA_3,CCL13,ImmEva,xCell,PMID29141660
aDC_HPCA_3,CCL17,ImmEva,xCell,PMID29141660
aDC_HPCA_3,CCL19,ImmEva,xCell,PMID29141660
aDC_HPCA_3,CCL22,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CD80,ImmEva,xCell,PMID29141660
aDC_IRIS_1,IL3RA,ImmEva,xCell,PMID29141660
aDC_IRIS_1,IL12B,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CXCL9,ImmEva,xCell,PMID29141660
aDC_IRIS_1,PTGIR,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CCL8,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CCL13,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CCL17,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CCL19,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CCL23,ImmEva,xCell,PMID29141660
aDC_IRIS_1,SLAMF1,ImmEva,xCell,PMID29141660
aDC_IRIS_1,SIGLEC1,ImmEva,xCell,PMID29141660
aDC_IRIS_1,TRAF1,ImmEva,xCell,PMID29141660
aDC_IRIS_1,TNFRSF4,ImmEva,xCell,PMID29141660
aDC_IRIS_1,TXN,ImmEva,xCell,PMID29141660
aDC_IRIS_1,SOCS3,ImmEva,xCell,PMID29141660
aDC_IRIS_1,HS3ST3B1,ImmEva,xCell,PMID29141660
aDC_IRIS_1,CD209,ImmEva,xCell,PMID29141660
aDC_IRIS_1,LILRA5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ACHE,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ADPRH,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ALOX15B,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ANXA5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,XIAP,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ARF3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RHOG,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ATP1B3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,BLVRA,ImmEva,xCell,PMID29141660
aDC_IRIS_2,C1QA,ImmEva,xCell,PMID29141660
aDC_IRIS_2,C1QB,ImmEva,xCell,PMID29141660
aDC_IRIS_2,C3AR1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CASP5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CD80,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CD86,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CCR5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CMKLR1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,EIF5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ENO1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ETV3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,FCER1G,ImmEva,xCell,PMID29141660
aDC_IRIS_2,FCER2,ImmEva,xCell,PMID29141660
