gsName,gsGene,gsRange,gsSource,gsCitation
CD8_c0_t-Teff,LMNA,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,ZFP36,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,RGCC,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,CXCR4,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,DUSP2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,ZFP36L2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,JUND,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,XCL1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,GZMK,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,FTH1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,GPR183,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,PIK3R1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,NR4A2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,JUNB,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,MYADM,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,XCL2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,FOS,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,YPEL5,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,FOSB,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,VIM,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,TNFAIP3,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,BTG1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,CD69,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,TUBA4A,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,CMC1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,CREM,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,ZNF331,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c0_t-Teff,FAM177A1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
