gsName,gsGene,gsRange,gsSource,gsCitation
,ABCC4,ANGS,IntOGen ,
,ABL1,UCEC,IntOGen ,
,ABL2,BRCA,IntOGen ,
,ABL2,UCEC,IntOGen ,
,ACKR3,OVT,IntOGen ,
,ACSL3,AML,IntOGen ,
,ACSL6,LIPO,IntOGen ,
,ACSM3,GBM,IntOGen ,
,ACVR1,HGGNOS,IntOGen ,
,ACVR1,HNSC,IntOGen ,
,ACVR1,UCEC,IntOGen ,
,ACVR1B,BRCA,IntOGen ,
,ACVR1B,COAD,IntOGen ,
,ACVR1B,COADREAD,IntOGen ,
,ACVR1B,LUAD,IntOGen ,
,ACVR1B,PAAD,IntOGen ,
,ACVR1B,PAAD,IntOGen ,
,ACVR1B,PAAD,IntOGen ,
,ACVR1B,PAAD,IntOGen ,
,ACVR2A,COADREAD,IntOGen ,
,ACVR2A,COADREAD,IntOGen ,
,ACVR2A,COADREAD,IntOGen ,
,ACVR2A,CSCC,IntOGen ,
,ACVR2A,HCC,IntOGen ,
,ACVR2A,HCC,IntOGen ,
,ACVR2A,HCC,IntOGen ,
,ACVR2A,PAAD,IntOGen ,
,ACVR2A,PAAD,IntOGen ,
,ACVR2A,PAAD,IntOGen ,
,ACVR2A,PRAD,IntOGen ,
,ACVR2A,STAD,IntOGen ,
,ACVR2A,UCEC,IntOGen ,
,ADAMTS9,PCM,IntOGen ,
,AFDN,BRCA,IntOGen ,
,AFDN,BRCA,IntOGen ,
,AFDN,COADREAD,IntOGen ,
,AFF1,MEL,IntOGen ,
,AFF3,LUAD,IntOGen ,
,AFF3,WDTC,IntOGen ,
,AFF4,HCC,IntOGen ,
,AJUBA,HNSC,IntOGen ,
,AKAP9,BCC,IntOGen ,
,AKAP9,BLCA,IntOGen ,
,AKAP9,BRCA,IntOGen ,
,AKAP9,CCRCC,IntOGen ,
,AKAP9,ESCA,IntOGen ,
,AKAP9,HCC,IntOGen ,
,AKAP9,HNSC,IntOGen ,
,AKAP9,SKCM,IntOGen ,
,AKAP9,STOMACH,IntOGen ,
,AKAP9,UCEC,IntOGen ,
,AKT1,ALL,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,BRCA,IntOGen ,
,AKT1,CESC,IntOGen ,
,AKT1,COADREAD,IntOGen ,
,AKT1,PRAD,IntOGen ,
,AKT1,PRAD,IntOGen ,
,AKT1,PRAD,IntOGen ,
,AKT1,PRAD,IntOGen ,
,AKT1,PROSTATE,IntOGen ,
,AKT1,SARCNOS,IntOGen ,
,AKT1,UCEC,IntOGen ,
,AKT1,UCEC,IntOGen ,
,AKT1,UCEC,IntOGen ,
,AKT1,WDTC,IntOGen ,
,AKT3,PROSTATE,IntOGen ,
,AKT3,SKCM,IntOGen ,
,ALDH2,OS,IntOGen ,
,ALK,BRCA,IntOGen ,
,ALK,HCC,IntOGen ,
,ALK,NBL,IntOGen ,
,ALK,NBL,IntOGen ,
,ALK,NBL,IntOGen ,
,ALK,NBL,IntOGen ,
,ALK,NBL,IntOGen ,
,ALK,NSCLC,IntOGen ,
,ALK,PROSTATE,IntOGen ,
,ALK,SCLC,IntOGen ,
,ALPK1,PAAD,IntOGen ,
,AMER1,COAD,IntOGen ,
,AMER1,COAD,IntOGen ,
,AMER1,COADREAD,IntOGen ,
,AMER1,COADREAD,IntOGen ,
,AMER1,COADREAD,IntOGen ,
,AMER1,COADREAD,IntOGen ,
,AMER1,COADREAD,IntOGen ,
,AMER1,READ,IntOGen ,
,AMER1,WT,IntOGen ,
,ANK1,ANGS,IntOGen ,
,ANK1,CHOL,IntOGen ,
,ANK1,COAD,IntOGen ,
,ANK1,COADREAD,IntOGen ,
,ANK1,LUAD,IntOGen ,
,ANK1,PRAD,IntOGen ,
,ANK1,PRAD,IntOGen ,
,ANKRD11,MLYM,IntOGen ,
