gsName,gsGene,gsRange,gsSource,gsCitation
HALLMARK_ADIPOGENESIS,ABCA1,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ABCB8,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACAA2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACADL,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACADM,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACADS,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACLY,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACO2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ACOX1,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ADCY6,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ADIG,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ADIPOQ,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ADIPOR2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ADIPOR2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,AGPAT3,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,AIFM1,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,AK2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ALDH2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ALDOA,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ANGPT1,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ANGPTL4,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,APLP2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,APOE,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ARAF,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ARL4A,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ATL2,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ATP1B3,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,ATP5PO,PanCancer,MSigDB_hallmarks,PMID26771021
HALLMARK_ADIPOGENESIS,BAZ2A,PanCancer,MSigDB_hallmarks,PMID26771021
